airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price
대한항공,2023-08-01,16:40,17:40,PUS,CJU,60,일반석,102700
제주항공,2023-08-01,17:05,18:00,PUS,CJU,55,일반석,99700
에어부산,2023-08-01,17:30,18:30,PUS,CJU,60,일반석,99700
에어부산,2023-08-01,18:00,19:00,PUS,CJU,60,일반석,99700
진에어,2023-08-01,19:00,20:00,PUS,CJU,60,일반석,95700
진에어,2023-08-01,19:00,20:00,PUS,CJU,60,비즈니스석,150700
대한항공,2023-08-01,19:15,20:15,PUS,CJU,60,할인석,93700
대한항공,2023-08-01,19:15,20:15,PUS,CJU,60,일반석,102700
대한항공,2023-08-01,19:15,20:15,PUS,CJU,60,비즈니스석,162700
대한항공,2023-08-01,21:00,22:00,PUS,CJU,60,할인석,93700
대한항공,2023-08-01,21:00,22:00,PUS,CJU,60,일반석,102700
제주항공,2023-08-01,08:00,09:00,CJU,PUS,60,할인석,89600
제주항공,2023-08-01,08:00,09:00,CJU,PUS,60,일반석,99700
에어부산,2023-08-01,08:30,09:35,CJU,PUS,65,할인석,88390
에어부산,2023-08-01,08:30,09:35,CJU,PUS,65,일반석,99700
아시아나항공,2023-08-01,08:30,09:30,CJU,PUS,60,일반석,99700
대한항공,2023-08-01,08:45,09:45,CJU,PUS,60,할인석,93700
대한항공,2023-08-01,08:45,09:45,CJU,PUS,60,일반석,102700
에어부산,2023-08-01,09:10,10:10,CJU,PUS,60,할인석,90130
에어부산,2023-08-01,09:10,10:10,CJU,PUS,60,일반석,99700
아시아나항공,2023-08-01,09:10,10:10,CJU,PUS,60,일반석,99700
에어부산,2023-08-01,09:40,10:40,CJU,PUS,60,할인석,92740
에어부산,2023-08-01,09:40,10:40,CJU,PUS,60,일반석,99700
아시아나항공,2023-08-01,09:40,10:40,CJU,PUS,60,일반석,99700
에어부산,2023-08-01,09:50,10:50,CJU,PUS,60,할인석,94480
에어부산,2023-08-01,09:50,10:50,CJU,PUS,60,일반석,99700
에어부산,2023-08-01,10:15,11:15,CJU,PUS,60,일반석,99700
진에어,2023-08-01,10:30,11:30,CJU,PUS,60,일반석,95700
진에어,2023-08-01,10:30,11:30,CJU,PUS,60,비즈니스석,150700
에어부산,2023-08-01,13:10,14:10,CJU,PUS,60,일반석,99700
