airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price,day,holiday
대한항공,2023-08-05,16:30,17:40,GMP,CJU,70,일반석,129700,토요일,주말
이스타항공,2023-08-05,16:35,17:45,GMP,CJU,70,할인석,73600,토요일,주말
아시아나항공,2023-08-05,16:35,17:50,GMP,CJU,75,할인석,78700,토요일,주말
이스타항공,2023-08-05,16:35,17:45,GMP,CJU,70,일반석,119600,토요일,주말
아시아나항공,2023-08-05,16:35,17:50,GMP,CJU,75,일반석,132700,토요일,주말
아시아나항공,2023-08-05,16:35,17:50,GMP,CJU,75,비즈니스석,169700,토요일,주말
대한항공,2023-08-05,17:05,18:15,GMP,CJU,70,할인석,83700,토요일,주말
대한항공,2023-08-05,17:05,18:15,GMP,CJU,70,일반석,129700,토요일,주말
대한항공,2023-08-05,17:05,18:15,GMP,CJU,70,비즈니스석,189700,토요일,주말
티웨이항공,2023-08-05,17:25,18:35,GMP,CJU,70,할인석,73000,토요일,주말
티웨이항공,2023-08-05,17:25,18:35,GMP,CJU,70,일반석,118700,토요일,주말
에어부산,2023-08-05,17:35,18:55,GMP,CJU,80,할인석,68880,토요일,주말
에어부산,2023-08-05,17:35,18:55,GMP,CJU,80,일반석,118700,토요일,주말
이스타항공,2023-08-05,17:40,18:50,GMP,CJU,70,할인석,68600,토요일,주말
티웨이항공,2023-08-05,17:40,18:50,GMP,CJU,70,할인석,73000,토요일,주말
티웨이항공,2023-08-05,17:40,18:50,GMP,CJU,70,일반석,118700,토요일,주말
이스타항공,2023-08-05,17:40,18:50,GMP,CJU,70,일반석,119600,토요일,주말
아시아나항공,2023-08-05,17:50,19:00,GMP,CJU,70,할인석,78700,토요일,주말
대한항공,2023-08-05,17:50,19:00,GMP,CJU,70,할인석,83700,토요일,주말
대한항공,2023-08-05,17:50,19:00,GMP,CJU,70,일반석,129700,토요일,주말
아시아나항공,2023-08-05,17:50,19:00,GMP,CJU,70,일반석,132700,토요일,주말
대한항공,2023-08-05,17:50,19:00,GMP,CJU,70,비즈니스석,189700,토요일,주말
에어서울,2023-08-05,18:00,19:10,GMP,CJU,70,할인석,69600,토요일,주말
에어서울,2023-08-05,18:00,19:10,GMP,CJU,70,특가석,76100,토요일,주말
에어서울,2023-08-05,18:00,19:10,GMP,CJU,70,일반석,119700,토요일,주말
에어부산,2023-08-05,18:10,19:20,GMP,CJU,70,할인석,66760,토요일,주말
이스타항공,2023-08-05,18:10,19:20,GMP,CJU,70,할인석,68600,토요일,주말
티웨이항공,2023-08-05,18:10,19:20,GMP,CJU,70,할인석,73000,토요일,주말
티웨이항공,2023-08-05,18:10,19:20,GMP,CJU,70,일반석,118700,토요일,주말
에어부산,2023-08-05,18:10,19:20,GMP,CJU,70,일반석,118700,토요일,주말
이스타항공,2023-08-05,18:10,19:20,GMP,CJU,70,일반석,119600,토요일,주말
제주항공,2023-08-05,18:15,19:25,GMP,CJU,70,할인석,78600,토요일,주말
