airline,date,departure_time,arrival_time,departure_place,arrival_place,flight_time,seat,price
에어부산,2023-09-01,06:50,07:55,PUS,CJU,65,할인석,84040
에어부산,2023-09-01,06:50,07:55,PUS,CJU,65,일반석,99700
아시아나항공,2023-09-01,06:50,07:55,PUS,CJU,65,일반석,99700
대한항공,2023-09-01,07:00,08:00,PUS,CJU,60,일반석,102700
대한항공,2023-09-01,07:00,08:00,PUS,CJU,60,비즈니스석,162700
에어부산,2023-09-01,07:30,08:25,PUS,CJU,55,할인석,90130
에어부산,2023-09-01,07:30,08:25,PUS,CJU,55,일반석,99700
에어부산,2023-09-01,07:35,08:30,PUS,CJU,55,할인석,90130
에어부산,2023-09-01,07:35,08:30,PUS,CJU,55,일반석,99700
진에어,2023-09-01,07:40,08:45,PUS,CJU,65,일반석,95700
에어부산,2023-09-01,08:00,09:00,PUS,CJU,60,할인석,95350
에어부산,2023-09-01,08:00,09:00,PUS,CJU,60,일반석,99700
제주항공,2023-09-01,08:05,09:05,PUS,CJU,60,일반석,99700
대한항공,2023-09-01,10:20,11:20,PUS,CJU,60,일반석,102700
에어부산,2023-09-01,11:35,12:35,PUS,CJU,60,할인석,96220
에어부산,2023-09-01,11:35,12:35,PUS,CJU,60,일반석,99700
에어부산,2023-09-01,11:50,12:50,PUS,CJU,60,할인석,91870
에어부산,2023-09-01,11:50,12:50,PUS,CJU,60,일반석,99700
진에어,2023-09-01,12:05,13:10,PUS,CJU,65,일반석,95700
진에어,2023-09-01,12:05,13:10,PUS,CJU,65,비즈니스석,150700
제주항공,2023-09-01,12:20,13:20,PUS,CJU,60,일반석,99700
에어부산,2023-09-01,13:25,14:20,PUS,CJU,55,할인석,92740
에어부산,2023-09-01,13:25,14:20,PUS,CJU,55,일반석,99700
아시아나항공,2023-09-01,13:25,14:20,PUS,CJU,55,일반석,99700
대한항공,2023-09-01,14:00,15:00,PUS,CJU,60,할인석,93700
대한항공,2023-09-01,14:00,15:00,PUS,CJU,60,일반석,102700
대한항공,2023-09-01,14:00,15:00,PUS,CJU,60,비즈니스석,162700
진에어,2023-09-01,14:20,15:20,PUS,CJU,60,할인석,86500
대한항공,2023-09-01,14:20,15:20,PUS,CJU,60,일반석,93700
진에어,2023-09-01,14:20,15:20,PUS,CJU,60,일반석,95700
에어부산,2023-09-01,14:40,15:40,PUS,CJU,60,할인석,84910
제주항공,2023-09-01,14:40,15:40,PUS,CJU,60,할인석,89600
에어부산,2023-09-01,14:40,15:40,PUS,CJU,60,일반석,99700
제주항공,2023-09-01,14:40,15:40,PUS,CJU,60,일반석,99700
아시아나항공,2023-09-01,14:40,15:40,PUS,CJU,60,일반석,99700
에어부산,2023-09-01,15:00,15:55,PUS,CJU,55,할인석,81430
에어부산,2023-09-01,15:00,15:55,PUS,CJU,55,일반석,99700
아시아나항공,2023-09-01,15:00,15:55,PUS,CJU,55,일반석,99700
제주항공,2023-09-01,15:30,16:50,PUS,CJU,80,할인석,89600
제주항공,2023-09-01,15:30,16:50,PUS,CJU,80,일반석,99700
대한항공,2023-09-01,16:40,17:40,PUS,CJU,60,일반석,102700
에어부산,2023-09-01,17:00,18:05,PUS,CJU,65,할인석,85780
에어부산,2023-09-01,17:00,18:05,PUS,CJU,65,일반석,99700
아시아나항공,2023-09-01,17:00,18:05,PUS,CJU,65,일반석,99700
제주항공,2023-09-01,17:05,18:00,PUS,CJU,55,할인석,89600
제주항공,2023-09-01,17:05,18:00,PUS,CJU,55,일반석,99700
에어부산,2023-09-01,17:30,18:30,PUS,CJU,60,할인석,90130
에어부산,2023-09-01,17:30,18:30,PUS,CJU,60,일반석,99700
아시아나항공,2023-09-01,17:30,18:30,PUS,CJU,60,일반석,99700
진에어,2023-09-01,19:00,20:00,PUS,CJU,60,일반석,95700
진에어,2023-09-01,19:00,20:00,PUS,CJU,60,비즈니스석,150700
대한항공,2023-09-01,19:15,20:15,PUS,CJU,60,일반석,102700
대한항공,2023-09-01,19:15,20:15,PUS,CJU,60,비즈니스석,162700
대한항공,2023-09-01,21:00,22:00,PUS,CJU,60,일반석,102700
대한항공,2023-09-01,21:00,22:00,PUS,CJU,60,비즈니스석,162700
에어부산,2023-09-01,08:30,09:35,CJU,PUS,65,할인석,57500
에어부산,2023-09-01,08:30,09:35,CJU,PUS,65,일반석,82700
아시아나항공,2023-09-01,08:30,09:30,CJU,PUS,60,일반석,89700
대한항공,2023-09-01,08:45,09:45,CJU,PUS,60,할인석,60700
대한항공,2023-09-01,08:45,09:45,CJU,PUS,60,일반석,85700
대한항공,2023-09-01,08:45,09:45,CJU,PUS,60,비즈니스석,145700
에어부산,2023-09-01,09:10,10:10,CJU,PUS,60,할인석,57500
에어부산,2023-09-01,09:10,10:10,CJU,PUS,60,일반석,82700
아시아나항공,2023-09-01,09:10,10:10,CJU,PUS,60,일반석,89700
에어부산,2023-09-01,09:30,10:30,CJU,PUS,60,할인석,58200
에어부산,2023-09-01,09:30,10:30,CJU,PUS,60,일반석,82700
아시아나항공,2023-09-01,09:30,10:30,CJU,PUS,60,일반석,89700
에어부산,2023-09-01,09:50,10:50,CJU,PUS,60,할인석,58200
에어부산,2023-09-01,09:50,10:50,CJU,PUS,60,일반석,82700
에어부산,2023-09-01,10:15,11:15,CJU,PUS,60,할인석,58900
에어부산,2023-09-01,10:15,11:15,CJU,PUS,60,일반석,82700
아시아나항공,2023-09-01,10:15,11:15,CJU,PUS,60,일반석,89700
진에어,2023-09-01,10:30,11:30,CJU,PUS,60,할인석,60100
대한항공,2023-09-01,10:30,11:30,CJU,PUS,60,할인석,71700
대한항공,2023-09-01,10:30,11:30,CJU,PUS,60,일반석,81700
진에어,2023-09-01,10:30,11:30,CJU,PUS,60,일반석,82000
